sno,recoding_url,user,human_transcribe,nemo_transcribe,deepgram_transcribe,Nemo,Deepgram
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636990468.46436-in_25.wav,m.aqib,all right get ready i no sometimes i have to repeat this summit such a good one theres sixteen digits on her it starts with a fore and with a four and between the first and lace for the fourteen mold fours if you set a numb for repeated sixteen times you got my numb,all right get ready t no sometimes i have to repeat this summit such a good one theres sixteen dishes on her it starts with a fore and with a for and between the first and lace for the fourteen mold fours if you set a numb for repeated sixteen times you got my numb,Alright Get rid of that Sometimes im have to repeat this number Its such a good one Theres sixteen digits on our It starts with a four with a four In between the first and last forwards the four t old fours You said the number four repeat sixteen times You got my numb,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636130731.11159-in_2.wav,m.aqib,all right hello hey a coffee demand am going to come and kill your family and fuck your mom and asshole pump that shit,all right hello hey a coffee demand im going to come and kill your family and fuck your mon and our thou pump that shit,Alright Hello Hey What up man Im gonna come kill your family and fuck your mom and asshole That shit,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636751285.263629-in_4.wav,m.aqib,all right yeah,all right yet,Alright Yes Okay,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1635524441.78106-in_7.wav,m.aqib,all that I gotten on the pay,all that ii gotten on the pay,Im not i aint got on the face,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1637006324.84981-in_2.wav,m.aqib,all you mean on the credit card that I dont have,all you mean on the credit card that i dont have,Oh you mean On the credit card that I dont have,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636150608.21362-in_0.wav,m.aqib,along her,a long his,0,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636150608.21362-in_1.wav,m.aqib,along how,a long how,Hello,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635518425.23406-in_1.wav,m.aqib,am busy right now,im busy right now,Im busy right now,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635608389.150330-in_4.wav,m.aqib,am doing great so far how are you doing today,am doing great so far how are you doing today,I am doing great So far How are you doing today,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636134536.28821-in_12.wav,m.aqib,am fine,im fine,Im fine,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636671015.85424-in_5.wav,m.aqib,am fine thank you i little confuse what this call is about i couldnt understand the recording,im fine thank you i little confuse what this call is about i couldnt understand the recording,Im fine Thank you I little confuse what this call is about I couldnt understand the recording,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1634926804.27335-in_7.wav,m.aqib,am fourteen years old you are calling a fourteen year old,im fourteen years old youre calling a fourteen year old,Im fourteen years old Youre call on a fourteen year old,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636820705.53213-in_5.wav,m.aqib,am good hello my name is  suck my cock fuck your mother,im good hello my name is up suck mycockifuc your mother,Im good Hello My name is Stuck my contact up your mother,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635461119.25552-in_8.wav,m.aqib,am good what about you,im good what about you,Alright Good What about you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636835902.180299-in_2.wav,m.aqib,am i talking to a live person,am i talking to a live person,Am I talking to a live person,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636125305.363-in_13.wav,m.aqib,am may way doing it you  go put you in  jail all this number of leper numbers its on the t v am okay,imay way doing it you ont gutta jail all this number of leper numbers its on the t v ink,Youre doing it youre gonna put a g All these number or numbers Its on the Tv Oh okay,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636995291.64689-in_1.wav,m.aqib,am no i dont Im working right now,in no i dont im working right now,No I dont Im working right now,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635615073.58755-in_1.wav,m.aqib,am no sorry am busy,i no sorry im ivy,No Sorry Im busy me,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1635971687.56722-in_8.wav,m.aqib,am not interested,iam not interested,Im not,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636047341.34784-in_1.wav,m.aqib,am not interested in this and please remove my number for me calling the list,im not interested in this and please remove my number for me calling the inspect,Im not interested in this please remove my number for me totally list But,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636147151.16386-in_0.wav,m.aqib,am not relief this is scam thank you bybye,i a ill o the part and o byebye,And i Oh soon by clear Thank you Bye bye,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635884710.1256-in_8.wav,m.aqib,am not sure,iam not sure,Im not sure,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636046147.23582-in_3.wav,m.aqib,am not to talk about debt relief,im not to talk about debt relief,not to talk about debt relief,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636062509.261242-in_12.wav,m.aqib,am okay how are you ,im sky how are you,Okay How are you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636491495.9104-in_1.wav,m.aqib,am sorry i cant hardly hear this,im sorry i cant hardly hear his,Im sorry I cant another hear,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636065555.271857-in_2.wav,m.aqib,am speaking,im speaking,Im speaking,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636044522.213774-in_6.wav,m.aqib,america,ma cough,Mark,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636472616.18276-in_2.wav,m.aqib,american debt relief,american debt relief,American debt relief,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636663113.73539-in_2.wav,m.aqib,American gentle,american gentle,American and Debt,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636667769.79889-in_3.wav,m.aqib,amid ash,amid ash,Name is Ashley Is Beverly relief,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1635539717.107134-in_12.wav,m.aqib,ammm I only have a balance for,up i only have a balance for,I only have a balance on,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636643501.11498-in_1.wav,m.aqib,and also let you i want of to let you know yeah i also one can you hear me ok is it loud enough i want to let you know i fucked your mother up or that all how about now,and also let you i want of to let you know yea i also one can you hear me ok is it loud enough i want to let you know i tucked your mother up or tat all how about now,and also let them wouldnt I wanna also let you know Yeah I also one Can can you hear me okay Is it loud enough I wanted to let you know I fucked your mother up or ass Well how about now,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874052.31536-in_0.wav,m.aqib,and cannot accept any message at this time good bye ,and cannot accept any messages at this time good bye,and cannot accept any messages at this time Goodbye,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1634941780.30662-in_0.wav,m.aqib,and did it fuck,and did it fun,And this this,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636832073.198366-in_1.wav,m.aqib,and do not caller list,i ado not conflict,I do not call list,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635868980.9472-in_0.wav,m.aqib,and get back to as soon as I can,andll get back to as soon as i can,And back to you as soon as I can Thank,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1634935001.33319-in_0.wav,m.aqib,and i cant answer the calls what you leave a brief message,an i cant answer the calls what you leave a brief method nd,I cant answer this call So what you leave a brief message And,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635019669.41310-in_15.wav,m.aqib,and I dont know what pan what pardon,and i dont know what pan what pardon,and I dont know why paying what Pardon,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635979837.170595-in_1.wav,m.aqib,and i wll get back to you thank you,and i wll get back to you thank you,and I will get back to you Thank you,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635873641.29652-in_0.wav,m.aqib,and is is ,and is is,And this is,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636732251.108774-in_1.wav,m.aqib,and ive heard from you before youve talked to me before and ive said youve told you before i have no debt dont call me again,and ive heard from you before youve talked to me before and ive said youve told you before i have no debt dont came again,And Ive heard from you before youve talked to me before and Ive said you told you before I know that dont call you again,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636578878.30661-in_1.wav,m.aqib,and james I have no debt good night,and james i have no outlook good right,and James I have no debt no goodbye,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636132476.4481-in_0.wav,m.aqib,and now to continue this call in english paracontinoir in espagnol prefuone neve,and now to continue this call in english paracontinoir in espagnol prefuone neve,Now to continue this call in English,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635020513.47645-in_1.wav,m.aqib,and something to me though james I had talk you  james before no one had no moment,ad something to me though them an had tale te am before no one had no moment,I thought for damn I have talked to Jay No I dont at no moment,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635888967.23203-in_0.wav,m.aqib,and well call you back as soon as we can,and well call you back as soon as we can,switch And well call you back as soon as we can,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1634939773.52896-in_10.wav,m.aqib,and what,and what,And what,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635974954.89869-in_16.wav,m.aqib,and what account are you having skip,and what account are you having ai,what account do you have on the system,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636126077.5224-in_28.wav,m.aqib,and what city are you calling from catherine,and what city are you calling from catherine,Hey what City are you calling from Cash,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636126077.5224-in_13.wav,m.aqib,and what company are you with james,and what company are you with james,And what company are you with James,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636143771.27920-in_4.wav,m.aqib,and what should i do,and what should i do,And what should I do,TRUE,TRUE
