Bot Transcription,Recording URL
no maam thank you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636827978.314045-in_2.wav
i dont know only dead,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI11-1636486474.1192-in_1.wav
i already have some one word,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1634938455.17495-in_1.wav
yes but like i say i have someone working on it,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1634938455.17495-in_2.wav
no no i told you already have so much white  dont want to listen to talk to you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1634938455.17495-in_3.wav
book from met relief they have no debt good bye,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1637009560.95424-in_1.wav
why do you feed like a reporting,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_2.wav
are you a real person or is this a recording,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_3.wav
if i dint have time to listen to this again lets get to it,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_4.wav
that would be fine,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_5.wav
to another combat another root you art,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_6.wav
are you a live person or are you another root,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_7.wav
thats what the last guy said and it was owing but a computer,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_8.wav
i said thats what the last person said in that was nothing but a computer an automatic voice said,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_9.wav
why dont you suck my fucking an,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_10.wav
have you killed enough my through my up phone number already,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_11.wav
what the fuck are you peoples problems,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_12.wav
is like i suspect that just like a inspector,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_13.wav
hey do man,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_14.wav
wishing thumb bitch get me through the next person so i can chat them too,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636067207.62153-in_15.wav
masterly,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636473642.22662-in_0.wav
came i talk to to every day get the hall off of here stock daring may you in,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1635963773.9347-in_0.wav
on less,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636733946.139370-in_0.wav
buck off jane,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636733946.139370-in_2.wav
for you you are once you are one major paced your one secular packed idiot,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636733946.139370-in_3.wav
and james i have no outlook good right,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636578878.30661-in_1.wav
im sorry we dont have any debts thank you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1634939399.30123-in_2.wav
o you with a holiday,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635624508.94422-in_0.wav
i do not have any debts that i need to have relief isnt that great,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636400929.86276-in_1.wav
i dont have a problem wit that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635458916.61444-in_2.wav
no i dont have a death problem,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635458916.61444-in_3.wav
youre the manager that this person just told me to speak to,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636388668.44932-in_4.wav
so why do you sound like ar cool from india,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636388668.44932-in_5.wav
why do you sound like a cool language person from india,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636388668.44932-in_6.wav
dont worry,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635008185.28757-in_1.wav
a box is full and cannot accept any messages at this time good bye,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636673213.216211-in_0.wav
the said,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI13-1635204120.34372-in_0.wav
it was as on fit,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636829015.28154-in_0.wav
i blow you lie ye,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636829015.28154-in_2.wav
are you a person or a machine,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636835378.201867-in_2.wav
go fuck yourself out that father you jergaff and your fucking mother mayo loan,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635538074.149685-in_1.wav
help can be murdered,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635538074.149685-in_2.wav
james had talk to you before,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637007497.80912-in_1.wav
because youre a cocksucker you want to suck my cock,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637007497.80912-in_2.wav
now if i like to get a blue job are you going to help me,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637007497.80912-in_3.wav
yes what o you want,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635887562.18124-in_0.wav
both were almost adventure yeah,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636662517.72231-in_0.wav
or in o are old,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636662517.72231-in_2.wav
may hair over the edge they called their mind,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636662517.72231-in_3.wav
you know what a y open off too the same day appointed to the denser,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636662517.72231-in_5.wav
anti the public  output,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636662517.72231-in_7.wav
said that already,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636992217.48292-in_0.wav
yeah i think so yeah,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_6.wav
it was my los my brodie so a is my profile,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_7.wav
probably over three thousand dollars,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_8.wav
except im,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_9.wav
comes for nine of,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_10.wav
ill tell you what im going to do here to talk talk to the talk to the duckalk out,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_12.wav
an expected it in in,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634939074.45073-in_13.wav
i like it,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636833633.177285-in_0.wav
alone,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636833633.177285-in_1.wav
howl all equal away along little all hello what,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636833633.177285-in_2.wav
go to her latter,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636578161.18926-in_0.wav
i know we go through this every day every week i dont need any any any credit free of anything,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636384028.29374-in_1.wav
i get,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_1.wav
thats wonder,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_2.wav
well i guess so,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_3.wav
butwould you repeat that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_5.wav
i didnt know i owed anything,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_7.wav
i dont know you say i do i dont i dont know,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_8.wav
i never owned that much,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874746.35051-in_11.wav
maybe you should melon,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1635529343.81439-in_1.wav
up now,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635196261.12118-in_1.wav
oh w we who we dont have i,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635196261.12118-in_2.wav
we dont have a credit card,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635196261.12118-in_3.wav
if they borrowed money they old would let hem pay it i do not believe in aiding anybody se goodby never call me again,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635785679.36772-in_2.wav
ye saint else and ive told you that if they borrowed it they owe it dont give me that bite and cap somebody else is going to pay for it they hard they got dem money dey owe o tushin it be eye the public has a bench yet the public casapegy idiot the public hasapar the idiot,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635785679.36772-in_3.wav
dont have any,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635006898.20257-in_2.wav
okay lets call the concentration with foci ran wen your mother pucker a sol,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636828782.167753-in_0.wav
never no,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635525417.42729-in_1.wav
h im sorry im tied up,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635612356.30484-in_0.wav
yore okay,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_2.wav
do you like to have people stick their fingers in your buckle,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_5.wav
a be on e fog,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_6.wav
good o i i one,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_9.wav
m yeah,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_13.wav
ah you know what here one moment here as you know like he guy that screened stick my fingers in your but hale,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_14.wav
do you have a dick,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_16.wav
do you have a did big enough that but outselfrer it too small,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_17.wav
can to suck your own bigger as it too lit,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_18.wav
i like got too,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_19.wav
o  him,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634924860.18925-in_0.wav
i dont now that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1635444696.7902-in_0.wav
what is e reference to,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636474548.5795-in_1.wav
i dont have any credit cards sir,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636474548.5795-in_2.wav
you know so im at work,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1634942058.39739-in_1.wav
and cannot accept any messages at this time good bye,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635874052.31536-in_0.wav
but you want,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607582.15632-in_0.wav
no din cable,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607582.15632-in_1.wav
hereof southeast twenty their and belmonth our hours are from tuesday through saturday from five p m to nine p m,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635446582.23494-in_0.wav
dont need it i,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636993766.53682-in_1.wav
you you called me three times before this,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636829936.171147-in_1.wav
from where im sorry,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636385569.67561-in_1.wav
that release program whats that about,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636472708.17771-in_1.wav
there old or okay,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636472708.17771-in_2.wav
oh the what is it what is it what is,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI5-1635886387.8325-in_1.wav
formerly i fined and a nonprofit assistant center,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1635014966.46913-in_0.wav
we didnt get your fig either because you were not speaking or because of a bad connection to disk,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1634941914.39245-in_1.wav
ah whos calling,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637007833.63473-in_0.wav
im sorry could you repeat that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637007833.63473-in_1.wav
wait a second how did you get this phone number,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637007833.63473-in_2.wav
walker i am not able to get to the phone right now though the,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635978731.164497-in_0.wav
i get ill of,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636064653.268872-in_0.wav
are you a computer or your recur,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636470520.2530-in_1.wav
so go okay okay,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636470520.2530-in_2.wav
hey get a real job theyre opening serfs,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636470520.2530-in_4.wav
vision ill get back with you as soon as i can and its always thanks for keeping in touch,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1634943028.27531-in_0.wav
and her interestwoo,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1635013709.41191-in_1.wav
where did you want,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636046413.30470-in_1.wav
iso hello,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1637080549.7680-in_0.wav
all come to to eight breakfast and i dont have no debt so of hat i got is house payment an a ll owners two percent so you youve wasting your time talking to me,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1637080549.7680-in_1.wav
he had got a moment to speak,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636580055.35453-in_1.wav
jet of time o ta go,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1635542854.129142-in_1.wav
by,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1635542854.129142-in_2.wav
get whats there,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636732088.108200-in_1.wav
whats that really,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636732088.108200-in_3.wav
have no doubt,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635196478.13290-in_1.wav
like go fuck yourself you slamming ashore eat shit and die,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1635443939.7208-in_3.wav
hardly the root hi do me a favor take me off your call list and do the world a favour each shit and die slamming ashore,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1635443939.7208-in_4.wav
oh sir i think you might have own number i dont i dont have no met really thing going on have a blend day anyway byebye,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI11-1636408066.54979-in_1.wav
react right,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_2.wav
hay james you just hung up on me a minute ago whyd you do that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_3.wav
the best time to call in back is never,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_4.wav
james is this are you a recording are you a recording,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_6.wav
oh really will you just call me a minute you just cause you just call me a minute ago and hung up on me,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_7.wav
what affirmation what if,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_8.wav
what information,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_10.wav
is a recording au are you are you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_11.wav
that okay,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_13.wav
four hundred if four hundred one fifty five billion dollars,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_14.wav
forty fit four hundred fifty billion dollars four hundred fifty million dollars,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_15.wav
eighty nine,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_16.wav
eighty eight eighty nine,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_17.wav
so i to hear you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_20.wav
why i just gave it i just gave john that information,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_23.wav
the guy who just oh please youit go fuck yourself you asked,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_24.wav
dont effort yourself,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636994662.331172-in_25.wav
who are you what are you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636491410.8672-in_2.wav
no note during the time that howcome of the great burden of wet i adjust,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1637020395.1008-in_0.wav
okay yes i hear you now,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1637020395.1008-in_1.wav
shit,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636756312.280176-in_0.wav
petrol on,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607171.13978-in_2.wav
i hope it,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607171.13978-in_3.wav
what  who tat,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607171.13978-in_4.wav
o no english,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607171.13978-in_8.wav
nine english,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607171.13978-in_9.wav
wore not a,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636561488.18706-in_0.wav
one three five eight zero eight one zero,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635952711.10092-in_0.wav
i hear,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635268524.10750-in_1.wav
i dont have no credit card ten i do not have no credit card debt,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635197547.13892-in_2.wav
mike smith how original,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636134336.27676-in_1.wav
amending,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636041285.57915-in_0.wav
a allied together on fo of,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636041285.57915-in_2.wav
he he to to,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636041285.57915-in_3.wav
can you do that for me,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635545406.177773-in_2.wav
hello dan oh gang,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_0.wav
hello jan a ho,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_1.wav
a got so drink area,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_2.wav
a forty follow,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_4.wav
good any an,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_8.wav
we by i,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_11.wav
may youre an agent,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_12.wav
of course if youre the secret age man yet,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_13.wav
youre the secret ancient man thats doing it right,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_14.wav
me deep of what appeal,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635954679.32318-in_3.wav
get off soon first towns the show wig seen,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634927077.26259-in_0.wav
yes yeah,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1634927077.26259-in_3.wav
no i do not please remove this number,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636560042.3612-in_1.wav
ha  help you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1637001480.28091-in_0.wav
no i dont want a debt relief program,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635867196.1531-in_1.wav
jimmy smith,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636471816.14623-in_4.wav
up i have a position,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636471816.14623-in_8.wav
youknow,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636471816.14623-in_9.wav
